year,muni_code,party,share,coverage,councils,history_in_province
2016,CPT,CHRISTIAN DEMOCRATIC PARTY,5.662224121634978e-4,0.22413793103448276,1,FALSE
2016,CPT,PEOPLE'S DEMOCRATIC MOVEMENT,1.7566900278429367e-4,0.10344827586206896,8,TRUE
2016,CPT,UBUNTU PARTY,2.7450782667431766e-4,0.25,7,FALSE
2016,CPT,DEMOCRATIC INDEPENDENT PARTY,0.0030095821638739697,1,1,FALSE
2016,CPT,NATIONALIST COLOURED PARTY OF SOUTH AFRICA,5.666225693452388e-4,0.8275862068965517,5,FALSE
2016,CPT,AL SHURA PARTY,7.082782116815485e-4,0.6379310344827587,1,FALSE
2016,CPT,INDEPENDENT SPORT PARTY,6.442530626029904e-5,0.08620689655172414,1,FALSE
2016,CPT,KHOISAN KINGDOM AND ALL PEOPLE,3.081210299405607e-4,0.14655172413793102,2,FALSE
2016,CPT,SOUTH AFRICA PEOPLE'S PARTY,3.5774052047644314e-4,0.14655172413793102,2,FALSE
2016,CPT,COLOURED VOICE,3.4493549066073154e-4,0.7327586206896551,2,FALSE
2016,CPT,SIZWE UMMAH NATION,2.236878645932122e-4,0.15517241379310345,1,FALSE
2016,CPT,THE GREENS,1.912751328721922e-4,0.04310344827586207,1,FALSE
2016,CPT,KHOISAN REVOLUTION,2.6490405431253396e-4,0.11206896551724138,3,FALSE
2016,CPT,SOUTH AFRICAN PEOPLE FOR EQUALITY,1.2644966943015218e-4,0.07758620689655173,1,FALSE
2016,CPT,PATRIOTIC ASSOCIATION OF SOUTH AFRICA,5.202043362632842e-5,0.02586206896551724,1,FALSE
2016,CPT,LOCAL PEOPLE'S PARTY,0.0010844259625180771,0.10344827586206896,1,FALSE
2016,WC011,UNITED DEMOCRATS,0.03193801906248258,1,1,FALSE
2016,WC012,ALLIANCE FOR DEMOCRATIC FREEDOM,0.01457421083589308,0.6666666666666666,4,FALSE
2016,WC012,ALLIANCE OF DEMOCRATIC CONGRESS,0.05813345532971701,1,1,FALSE
2016,WC012,COLOURED VOICE,0.003529181099274557,0.8333333333333334,2,FALSE
2016,WC012,DEMOCRATIC NEW CIVIC ASSOCIATION,0.0019279785634925821,1,6,FALSE
2016,WC014,KHOISAN REVOLUTION,0.014379252792399537,0.9285714285714286,3,FALSE
2016,WC014,NASIONAAL DEMOKRATIESE PARTY/NATIONAL DEMOCRATIC PARTY,0.00489294018630262,0.8571428571428571,1,FALSE
2016,WC014,SALDANHA BAY RESIDENTS ALLIANCE,0.01616239425971099,1,1,FALSE
2016,WC014,UBUNTU PARTY,0.0020113835751273163,0.8571428571428571,7,FALSE
2016,WC014,NATIONALIST COLOURED PARTY OF SOUTH AFRICA,5.278098743241894e-4,0.14285714285714285,5,FALSE
2016,WC015,NATIONALIST COLOURED PARTY OF SOUTH AFRICA,0.00512534430459189,0.16666666666666666,5,FALSE
2016,WC022,LAND CLAIMS FIGHTERS,0.015993106781833848,0.9166666666666666,1,FALSE
2016,WC022,WITZENBERG AKSIE,0.049870752159384656,1,1,FALSE
2016,WC023,KHOISAN REVOLUTION,0.0021808992108668314,0.8787878787878788,3,FALSE
2016,WC023,COMMUNITY PARTY,0.002830916524412099,0.18181818181818182,1,FALSE
2016,WC023,SOUTH AFRICA PEOPLE'S PARTY,4.61694540462059e-4,0.15151515151515152,2,FALSE
2016,WC023,ALLIANCE FOR DEMOCRATIC FREEDOM,0.0060324036668266395,0.6060606060606061,4,FALSE
2016,WC023,FEDERATION OF DEMOCRATS,0.007460011785360638,0.5454545454545454,1,FALSE
2016,WC024,ALLIANCE FOR DEMOCRATIC FREEDOM,0.002027982602043993,0.3181818181818182,4,FALSE
2016,WC024,CHRISTIAN DEMOCRATS,0.0018856680334795022,0.7272727272727273,2,FALSE
2016,WC024,DEMOCRATIC NEW CIVIC ASSOCIATION,0.016517384614016205,0.7272727272727273,6,FALSE
2016,WC024,KHOISAN KINGDOM AND ALL PEOPLE,0.0026417141789783593,0.4090909090909091,2,FALSE
2016,WC024,UNITED FRANSCHHOEK VALLEY,0.0033977603244772165,0.13636363636363635,1,FALSE
2016,WC024,UBUNTU PARTY,1.3341990802921005e-4,0.4090909090909091,7,FALSE
2016,WC024,NATIONALIST COLOURED PARTY OF SOUTH AFRICA,1.4231456856449073e-4,0.09090909090909091,5,FALSE
2016,WC026,ALLIANCE FOR DEMOCRATIC FREEDOM,0.004817933862907882,0.5,4,FALSE
2016,WC026,COMMUNITY AND WORKERS ALLIANCE,0.01612614226841068,1,2,FALSE
2016,WC026,LANGERBERG INDEPENDENT PARTY,0.03261064325389715,1,1,FALSE
2016,WC026,NATIONALIST COLOURED PARTY OF SOUTH AFRICA,6.171733460749766e-4,0.16666666666666666,5,FALSE
2016,WC031,PEOPLE'S DEMOCRATIC MOVEMENT,0.0014369814119501228,0.2857142857142857,8,TRUE
2016,WC031,THE PEOPLES INDEPENDENT CIVIC ORGANISATION,0.001174307390410853,0.14285714285714285,5,TRUE
2016,WC031,UNITED FRONT OF THE EASTERN CAPE,0.03502835334291321,0.21428571428571427,1,FALSE
2016,WC032,PEOPLE'S DEMOCRATIC MOVEMENT,0.0014030952280731294,0.3076923076923077,8,TRUE
2016,WC032,UBUNTU PARTY,6.734857094751021e-4,0.8461538461538461,7,FALSE
2016,WC033,DIENSLEWERINGS PARTY,0.10115794703252187,1,1,FALSE
2016,WC033,KAAP AGULHAS CIVIC ORGANISASIE,0.03332441624947453,1,1,FALSE
2016,WC033,UBUNTU PARTY,0.0030572858944472045,1,7,FALSE
2016,WC034,COMMUNITY AND WORKERS ALLIANCE,0.008301794652667562,1,2,FALSE
2016,WC043,GOURIKWA KHOISAN,0.0029422778580217193,0.9285714285714286,1,FALSE
2016,WC043,PLAASLIKE BESORGDE INWONERS,0.001230407104263628,0.2857142857142857,4,TRUE
2016,WC043,D'ALMEDIA CIVIC ASSOCIATION,0.004172684962285347,0.21428571428571427,1,FALSE
2016,WC043,SOUTH AFRICA CIVICS,4.1459369817578774e-4,0.14285714285714285,4,FALSE
2016,WC044,CHRISTIAN DEMOCRATS,0.0033052884615384615,0.8888888888888888,2,FALSE
2016,WC044,CHRISTIAN UNITED MOVEMENT S.A (THE RIGHT CHOICE),7.26161858974359e-4,0.2222222222222222,1,FALSE
2016,WC044,DEMOCRATIC NEW CIVIC ASSOCIATION,0.0030632345085470085,0.4074074074074074,6,FALSE
